Column1;Column2;Column3;Column4;Column5;Column6;Column7
Column1;Column2;Column3;Column4;Column5;Column6;Column7
SKU;Название модели;Категория;Цена;Дата поступления;В наличии;Рейтинг
SKU-1000;iPhone 15;Ноутбук;101313.0;2024-09-07;Да;4.9
SKU-1001;Samsung S24;Ноутбук;-5000.0;2024-05-08;Нет;4.9
SKU-1002;MacBook Air;Смартфон;47275.0;2024-06-22;Нет;3.5
SKU-1003;Xiaomi 13;;66057.0;2024-02-08;Да;4.8
SKU-1004;LG OLED TV;Планшет;50752.0;2024-12-16;Да;4.7
SKU-1005;Dell UltraSharp;ТВ;71511.0;2024-04-27;Нет;4.1
SKU-1006;Asus ROG;Монитор;74266.0;12 января 2024;Да;4.3
SKU-1007;Sony Bravia;Ноутбук;63776.0;2024-09-08;Нет;4.8
SKU-1008;iPad Pro;Планшет;141870.0;2024-03-02;Да;8.5
SKU-1009;HP Pavilion;Монитор;127452.0;2024-12-01;Нет;5.0
SKU-1010;Lenovo ThinkPad;;0.0;2024-05-09;Нет;4.9
SKU-1011;MSI Katana;Смартфон;73339.0;2024-05-08;Нет;4.7
SKU-1012;Huawei P60;ТВ;118808.0;2024-05-09;Да;отлично
SKU-1013;Realme GT;Планшет;62997.0;вчера;Да;4.3
SKU-1014;Google Pixel 8;Ноутбук;18938.0;2024-05-18;Нет;4.1
